Un clásico moderno;Ideal para los fans del género;20
Un clásico moderno;Las actuaciones son excepcionales;19
No es para todos;Gran historia con personajes memorables;21
Oscura pero fascinante;Gran historia con personajes memorables;3
Mejor de lo esperado;Recomendada para los que disfrutan del suspenso;14
Intriga constante;Sorprendente y emotiva;12
Realista y emotiva;El final no decepciona;20
No es para todos;Recomendada para los que disfrutan del suspenso;15
Cautivadora;Los giros de la trama son excelentes;16
Cautivadora;Sorprendente y emotiva;15
Un giro inesperado;No pude dejar de verla hasta el final;25
Conmovedora;Un toque de humor en momentos oscuros;11
Emocionante de principio a fin;Ritmo lento, pero vale la pena;14
Recomendación obligatoria;Tiene sus fallos, pero engancha;24
Un giro inesperado;Ideal para los fans del género;14
Intriga constante;Tiene sus fallos, pero engancha;26
Recomendación obligatoria;Gran historia con personajes memorables;13
Emocionante de principio a fin;Un mensaje profundo entre líneas;15
Te deja con ganas de más;Cumple con lo que promete;22
Un clásico moderno;Una narrativa muy bien estructurada;30
Recomendación obligatoria;Recomendada para los que disfrutan del suspenso;21
Te deja con ganas de más;Un mensaje profundo entre líneas;14
Un giro inesperado;Los efectos especiales son increíbles;11
Comedia ligera;No pude dejar de verla hasta el final;17
Gran ambientación;No pude dejar de verla hasta el final;16
Fantasía en su máxima expresió;Un mensaje profundo entre líneas;18
Un giro inesperado;El final no decepciona;8
Llena de acción;Los giros de la trama son excelentes;24
Romance bien logrado;Un mensaje profundo entre líneas;25
Diálogos épicos;Sorprendente y emotiva;13
Personajes inolvidables;Visualmente impresionante y bien actuada;26
Intriga constante;Una narrativa muy bien estructurada;13
Un final inesperado;Ritmo lento, pero vale la pena;5
Una joya oculta;Gran historia con personajes memorables;11
Conmovedora;Los giros de la trama son excelentes;14
Una joya oculta;Un ejemplo de cómo hacer buena televisión;14
Oscura pero fascinante;Ideal para los fans del género;12
Sorprendente desarrollo;Las actuaciones son excepcionales;31
Oscura pero fascinante;Los giros de la trama son excelentes;1
Llena de acción;No pude dejar de verla hasta el final;12
Me hizo reflexionar;Una narrativa muy bien estructurada;16
Conmovedora;Los efectos especiales son increíbles;14
Ideal para los amantes del mis;Una propuesta original y fresca;13
Mejor de lo esperado;Gran historia con personajes memorables;24
Un clásico moderno;Un mensaje profundo entre líneas;18
Se pone buena después de unos;Tiene sus fallos, pero engancha;20
Intriga constante;Tiene sus fallos, pero engancha;19
Ideal para los amantes del mis;Ideal para los fans del género;24
Emocionante de principio a fin;Cumple con lo que promete;14
Comedia ligera;Los giros de la trama son excelentes;12
Una montaña rusa de emociones;El final no decepciona;2
Conmovedora;Ritmo lento, pero vale la pena;11
Te deja con ganas de más;Visualmente impresionante y bien actuada;17
Increíble trama;Tiene sus fallos, pero engancha;26
No es para todos;Un ejemplo de cómo hacer buena televisión;11
Oscura pero fascinante;El final no decepciona;11
Para disfrutar con la familia;Los giros de la trama son excelentes;29
No es para todos;Un mensaje profundo entre líneas;14
Me hizo reflexionar;No pude dejar de verla hasta el final;26
Cautivadora;El final no decepciona;12